時間戳記	生理性別	最高學歷	您的年齡	目前月薪資水平(台幣)	您是否已婚？	"您目前是否有結婚意願(不論單身與否)
已婚者可以是否後悔結婚來考量"	您認同買房是影響多數人結婚的重要因素嗎？	請問買房影響您結婚意願的程度為？	您對結婚一定得買房的認同度為何？	請問您認為自己目前薪資能獨自負擔逐年攀升的房價的程度為？	您認同買房會影響到個人生活水平的程度為？	您認為政府在買房上已擁有完善配套措施的程度為？	"請問您對下列可能使您擁有結婚意願的因素之認同度為何？
( 1 為非常不認同，5 為非常認同  ) [想要與心愛的人共組家庭]"	"請問您對下列可能使您擁有結婚意願的因素之認同度為何？
( 1 為非常不認同，5 為非常認同  ) [想要小孩]"	"請問您對下列可能使您擁有結婚意願的因素之認同度為何？
( 1 為非常不認同，5 為非常認同  ) [想要讓伴侶關係被法律所認同]"	"請問您對下列可能使您擁有結婚意願的因素之認同度為何？
( 1 為非常不認同，5 為非常認同  ) [傳統上結婚是人生的必經之路]"	"請問您對下列可能使您擁有結婚意願的因素之認同度為何？
( 1 為非常不認同，5 為非常認同  ) [想要伴侶一同承擔責任]"	"請問您對下列可能影響您結婚意願的經濟因素之認同度為何？
( 1 為非常不認同，5 為非常認同  ) [不想因為結婚犧牲現有生活水平]"	"請問您對下列可能影響您結婚意願的經濟因素之認同度為何？
( 1 為非常不認同，5 為非常認同  ) [無法負擔高額房價]"	"請問您對下列可能影響您結婚意願的經濟因素之認同度為何？
( 1 為非常不認同，5 為非常認同  ) [無法負擔結婚開銷]"	"請問您對下列可能影響您結婚意願的經濟因素之認同度為何？
( 1 為非常不認同，5 為非常認同  ) [想要先穩定事業再組建家庭]"	"請問您對下列可能影響您結婚意願的經濟因素之認同度為何？
( 1 為非常不認同，5 為非常認同  ) [無法負擔子女教養費用]"	"請問您對下列可能影響您結婚意願的非經濟因素之認同度為何？
( 1 為非常不認同，5 為非常認同  ) [只需要情感需求，不想綁定法律義務]"	"請問您對下列可能影響您結婚意願的非經濟因素之認同度為何？
( 1 為非常不認同，5 為非常認同  ) [害怕要與對方家庭磨合]"	"請問您對下列可能影響您結婚意願的非經濟因素之認同度為何？
( 1 為非常不認同，5 為非常認同  ) [不知是否對方值得信任]"	"請問您對下列可能影響您結婚意願的非經濟因素之認同度為何？
( 1 為非常不認同，5 為非常認同  ) [不想養小孩]"	"請問您對下列可能影響您結婚意願的非經濟因素之認同度為何？
( 1 為非常不認同，5 為非常認同  ) [婚後會失去自由]"	"請問您對下列可能影響您結婚意願的非經濟因素之認同度為何？
( 1 為非常不認同，5 為非常認同  ) [沒有對象]"	"請問您對下列可能影響您結婚意願的非經濟因素之認同度為何？
( 1 為非常不認同，5 為非常認同  ) [害怕婚姻失敗]"
2023/12/14 下午 5:00:58	女	大學	21～29	0～19999	否	1	5	5	5	1	5	1	5	1	5	1	5	5	5	5	5	5	5	5	5	5	5	5	5
2023/12/14 下午 5:24:24	男	大學	21～29	0～19999	否	4	2	2	3	1	4	1	4	4	4	4	3	4	2	2	4	2	3	3	3	1	1	5	2
2023/12/14 下午 5:42:12	男	大學	21～29	20000～39999	否	5	1	1	1	1	5	1	5	5	5	1	5	1	1	1	1	1	1	1	1	1	1	5	1
2023/12/14 下午 5:50:49	男	大學	30～39	20000～39999	否	2	5	5	3	1	5	2	3	3	3	3	2	1	5	5	3	5	1	4	3	3	4	3	4
2023/12/14 下午 6:16:42	女	大學	40～49	20000～39999	否	1	2	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2023/12/14 下午 6:36:09	女	大學	21～29	20000～39999	否	4	3	3	3	1	5	3	5	3	5	4	4	3	4	4	3	4	3	3	3	4	4	3	3
2023/12/14 下午 7:39:15	男	碩士	21～29	60000~79999	否	1	5	4	4	2	5	1	3	1	4	1	2	5	5	4	5	5	3	4	3	5	5	3	4
2023/12/14 下午 7:50:54	男	大學	18～20	0～19999	否	1	4	3	4	2	4	2	3	1	3	3	3	3	3	4	3	3	3	3	2	3	2	3	3
2023/12/14 下午 8:12:24	女	高中	21～29	0～19999	否	1	1	1	1	1	4	3	3	1	5	1	2	5	5	5	2	5	3	5	4	5	1	5	1
2023/12/15 下午 2:25:38	男	大學	21～29	20000～39999	否	5	3	2	2	1	4	1	5	4	3	1	3	3	5	5	3	5	3	5	3	2	3	5	5
2023/12/15 下午 2:33:13	男	大學	18～20	0～19999	否	4	5	4	5	1	3	2	5	3	3	4	5	4	3	2	5	3	2	4	5	3	3	5	4
2023/12/15 下午 4:19:27	男	大學	21～29	20000～39999	否	4	3	5	5	2	4	3	5	2	5	2	5	5	5	3	3	5	2	5	5	5	2	5	5
2023/12/15 下午 6:15:07	女	大學	21～29	0～19999	否	1	4	4	4	1	4	2	3	1	3	1	3	5	5	5	5	5	3	5	5	5	4	5	5
2023/12/15 下午 6:57:58	男	大學	21～29	20000～39999	否	5	2	1	5	1	5	1	4	5	4	4	5	3	4	2	5	5	2	2	4	1	1	3	1
2023/12/15 下午 7:08:08	女	大學	21～29	0～19999	否	1	4	1	1	1	3	1	5	1	5	1	1	3	5	3	3	5	1	4	3	5	3	4	1
2023/12/15 下午 7:43:44	女	大學	21～29	0～19999	否	3	1	1	1	1	4	1	5	1	3	1	4	5	2	5	5	5	3	5	5	5	4	3	5
2023/12/16 上午 5:31:27	女	大學	50～59	60000~79999	是	1	3	2	2	2	5	2	5	2	5	1	2	4	4	4	4	4	1	5	4	4	2	1	4
