2023/12/14 銝?? 5:00:58,憟?憭批飛,21嚚?9,0嚚?9999,??1,5,5,5,1,5,1,5,1,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5
2023/12/14 銝?? 5:24:24,??憭批飛,21嚚?9,0嚚?9999,??4,2,2,3,1,4,1,4,4,4,4,3,4,2,2,4,2,3,3,3,1,1,5,2
2023/12/14 銝?? 5:42:12,??憭批飛,21嚚?9,20000嚚?9999,??5,1,1,1,1,5,1,5,5,5,1,5,1,1,1,1,1,1,1,1,1,1,5,1
2023/12/14 銝?? 5:50:49,??憭批飛,30嚚?9,20000嚚?9999,??2,5,5,3,1,5,2,3,3,3,3,2,1,5,5,3,5,1,4,3,3,4,3,4
2023/12/14 銝?? 6:16:42,憟?憭批飛,40嚚?9,20000嚚?9999,??1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2023/12/14 銝?? 6:36:09,憟?憭批飛,21嚚?9,20000嚚?9999,??4,3,3,3,1,5,3,5,3,5,4,4,3,4,4,3,4,3,3,3,4,4,3,3
2023/12/14 銝?? 7:39:15,??蝣拙ㄚ,21嚚?9,60000~79999,??1,5,4,4,2,5,1,3,1,4,1,2,5,5,4,5,5,3,4,3,5,5,3,4
2023/12/14 銝?? 7:50:54,??憭批飛,18嚚?0,0嚚?9999,??1,4,3,4,2,4,2,3,1,3,3,3,3,3,4,3,3,3,3,2,3,2,3,3
2023/12/14 銝?? 8:12:24,憟?擃?葉,21嚚?9,0嚚?9999,??1,1,1,1,1,4,3,3,1,5,1,2,5,5,5,2,5,3,5,4,5,1,5,1
2023/12/15 銝?? 2:25:38,??憭批飛,21嚚?9,20000嚚?9999,??5,3,2,2,1,4,1,5,4,3,1,3,3,5,5,3,5,3,5,3,2,3,5,5
2023/12/15 銝?? 2:33:13,??憭批飛,18嚚?0,0嚚?9999,??4,5,4,5,1,3,2,5,3,3,4,5,4,3,2,5,3,2,4,5,3,3,5,4
2023/12/15 銝?? 4:19:27,??憭批飛,21嚚?9,20000嚚?9999,??4,3,5,5,2,4,3,5,2,5,2,5,5,5,3,3,5,2,5,5,5,2,5,5
2023/12/15 銝?? 6:15:07,憟?憭批飛,21嚚?9,0嚚?9999,??1,4,4,4,1,4,2,3,1,3,1,3,5,5,5,5,5,3,5,5,5,4,5,5
2023/12/15 銝?? 6:57:58,??憭批飛,21嚚?9,20000嚚?9999,??5,2,1,5,1,5,1,4,5,4,4,5,3,4,2,5,5,2,2,4,1,1,3,1
2023/12/15 銝?? 7:08:08,憟?憭批飛,21嚚?9,0嚚?9999,??1,4,1,1,1,3,1,5,1,5,1,1,3,5,3,3,5,1,4,3,5,3,4,1
2023/12/15 銝?? 7:43:44,憟?憭批飛,21嚚?9,0嚚?9999,??3,1,1,1,1,4,1,5,1,3,1,4,5,2,5,5,5,3,5,5,5,4,3,5
2023/12/16 銝?? 5:31:27,憟?憭批飛,50嚚?9,60000~79999,??1,3,2,2,2,5,2,5,2,5,1,2,4,4,4,4,4,1,5,4,4,2,1,4
2023/12/16 銝?? 5:44:27,??憭批飛,50嚚?9,20000嚚?9999,??2,3,1,1,2,3,2,3,3,1,1,1,5,2,3,2,4,4,3,2,3,4,4,1
2023/12/16 銝?? 6:26:37,??擃?葉,40嚚?9,0嚚?9999,??1,4,4,4,1,5,1,3,2,3,1,2,5,5,5,5,5,5,5,5,5,5,5,5
2023/12/16 銝?? 7:04:40,??蝣拙ㄚ,50嚚?9,80000~99999,??1,5,5,5,5,5,2,5,5,5,5,5,5,5,4,4,5,1,1,2,1,2,4,2
2023/12/16 銝?? 7:31:02,憟?蝣拙ㄚ,40嚚?9,80000~99999,??3,3,2,4,2,4,3,4,2,3,2,3,4,2,1,1,2,2,2,3,1,3,5,1
2023/12/16 銝?? 7:57:47,????ㄚ,40嚚?9,60000~79999,??5,5,1,5,5,5,2,5,5,4,3,3,3,2,2,2,1,1,3,4,1,4,3,4
2023/12/16 銝?? 8:27:27,??蝣拙ㄚ,40嚚?9,20000嚚?9999,??2,2,1,2,3,3,1,4,4,4,3,3,2,2,2,3,2,1,1,2,3,1,1,1
2023/12/16 銝?? 8:32:28,??蝣拙ㄚ,60嚚?9,40000嚚?9999,??5,3,3,3,2,4,1,4,2,2,3,2,2,4,2,2,2,2,2,3,2,2,2,2
2023/12/16 銝?? 8:34:28,??憭批飛,50嚚?9,40000嚚?9999,??5,2,3,4,3,4,1,5,4,5,5,5,5,5,5,5,5,4,4,4,2,3,3,5
2023/12/16 銝?? 8:34:50,??蝣拙ㄚ,60嚚?9,60000~79999,??5,3,3,1,5,3,1,5,3,5,5,3,1,3,1,3,1,5,3,1,3,3,3,1
2023/12/16 銝?? 8:37:11,憟?蝣拙ㄚ,50嚚?9,80000~99999,??1,2,2,3,2,4,1,4,3,3,2,3,2,3,1,3,1,2,3,2,1,1,1,1
2023/12/16 銝?? 8:43:07,??憭批飛,50嚚?9,100000~119000,??5,2,3,2,4,2,3,3,3,3,3,2,2,3,2,3,3,1,3,4,1,1,2,2
2023/12/16 銝?? 8:51:09,??蝣拙ㄚ,50嚚?9,80000~99999,??5,4,5,5,4,5,3,3,3,3,3,1,1,2,1,2,2,1,2,2,1,2,2,2
